City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,Karratha,34.4506,40.9171,56.35,64,0,9.26,SY
1,Karratha,-26.8241,-65.2226,66.2,88,90,2.15,AR
2,Karratha,66.8333,70.8333,10.18,94,100,21.81,RU
3,Karratha,-53.15,-70.9167,44.6,81,0,3.44,CL
4,Karratha,31.7167,-116.5667,70.0,50,8,1.99,MX
5,Karratha,-46.6,168.3333,63.0,63,100,4.0,NZ
6,Karratha,-33.65,115.3333,72.0,77,100,4.0,AU
7,Karratha,13.6667,-88.7833,84.2,65,20,4.61,SV
8,Karratha,-8.4667,140.3333,82.45,74,100,2.53,ID
9,Karratha,-21.2,-175.2,86.0,74,75,9.22,TO
10,Karratha,61.1333,74.8167,29.8,96,100,13.22,RU
11,Karratha,15.0584,43.2851,79.74,56,1,5.41,YE
12,Karratha,-3.8004,102.2655,79.05,75,100,13.18,ID
13,Karratha,54.5053,82.4484,23.0,68,0,8.95,RU
14,Karratha,42.097,-79.2353,41.0,70,90,11.5,US
15,Karratha,-0.7393,-90.3518,77.0,95,10,4.0,EC
16,Karratha,-9.8,-139.0333,80.74,77,37,11.52,PF
17,Karratha,34.6391,-120.4579,63.0,55,0,5.75,US
18,Karratha,19.7297,-155.09,78.8,65,90,8.05,US
19,Karratha,28.6585,-17.9182,64.4,72,75,6.91,ES
20,Karratha,36.7186,15.0907,42.8,87,20,4.61,IT
21,Karratha,-20.3428,57.7575,75.99,100,75,6.91,MU
22,Karratha,-42.7826,147.0587,78.01,31,100,7.0,AU
23,Karratha,-33.5906,26.891,65.46,84,86,13.49,ZA
24,Karratha,22.8909,-109.9124,78.8,12,75,13.8,MX
25,Karratha,29.8458,-90.1067,60.01,94,75,13.8,US
26,Karratha,-13.8483,136.4192,86.59,60,73,17.83,AU
27,Karratha,59.7035,30.7861,34.0,93,0,6.71,RU
28,Karratha,-21.2078,-159.775,84.2,70,75,8.05,CK
29,Karratha,71.9667,102.5,-27.22,95,36,0.51,RU
30,Karratha,30.4833,-115.95,64.38,50,23,4.32,MX
31,Karratha,48.0624,46.1091,34.65,76,0,7.18,RU
32,Karratha,-40.8135,-62.9967,59.49,90,1,3.94,AR
33,Karratha,-11.3258,-74.5308,69.85,96,67,0.98,PE
34,Karratha,40.8108,69.1986,33.8,75,40,11.5,UZ
35,Karratha,66.0449,-17.3389,41.0,70,90,23.02,IS
36,Karratha,12.1694,-83.0418,80.38,85,35,20.76,NI
37,Karratha,47.8043,67.7144,17.13,80,5,11.77,KZ
38,Karratha,36.2111,-115.0731,71.6,5,1,4.61,US
39,Karratha,-37.8333,140.7667,84.2,23,73,18.41,AU
40,Karratha,38.5167,-28.7,58.03,69,0,11.52,PT
41,Karratha,-51.6226,-69.2181,48.2,81,0,17.27,AR
42,Karratha,73.5069,80.5464,-10.84,78,100,3.11,RU
43,Karratha,-38.2667,141.9667,80.35,30,96,9.42,AU
44,Karratha,-8.145,159.5921,83.21,74,100,2.71,SB
45,Karratha,-34.4187,19.2345,57.99,94,100,5.95,ZA
46,Karratha,28.017,-97.5169,73.4,43,90,16.11,US
47,Karratha,-0.1303,-67.0892,72.82,98,100,0.13,BR
48,Karratha,-54.8,-68.3,42.8,70,0,2.3,AR
49,Karratha,16.8634,-99.8901,80.6,61,1,6.91,MX
50,Karratha,-0.6,73.0833,83.79,76,100,19.95,MV
51,Karratha,-9.9133,-63.0408,70.79,98,84,1.14,BR
52,Karratha,16.5167,-98.75,79.66,70,14,3.71,MX
53,Karratha,-42.8794,147.3294,77.0,38,0,11.5,AU
54,Karratha,5.4112,100.3354,88.0,74,20,2.3,MY
55,Karratha,50.2834,-107.8014,35.6,55,1,9.22,CA
56,Karratha,15.0,-83.2333,79.43,80,7,14.56,HN
57,Karratha,60.34,102.2797,8.62,78,92,6.46,RU
58,Karratha,42.6001,-73.9662,46.99,71,100,3.0,US
59,Karratha,63.7506,-68.5145,-4.0,71,75,20.71,CA
60,Karratha,3.0707,172.7902,82.63,77,18,15.03,KI
61,Karratha,-33.0117,17.9442,59.0,82,100,4.61,ZA
62,Karratha,13.8292,20.8324,71.42,15,8,7.76,TD
63,Karratha,-34.5322,20.0403,59.0,88,100,3.44,ZA
64,Karratha,7.4688,80.0401,80.6,89,75,2.3,LK
65,Karratha,-0.8833,131.25,84.22,71,14,4.41,ID
66,Karratha,-24.7911,-50.0119,53.51,75,0,3.18,BR
67,Karratha,66.4167,112.4,-9.87,85,100,11.72,RU
68,Karratha,72.7868,-56.1549,2.28,72,100,5.5,GL
69,Karratha,-46.1927,168.8643,63.0,63,100,4.0,NZ
70,Karratha,17.4167,-93.3,72.73,80,5,2.86,MX
71,Karratha,-22.6667,167.4833,75.27,79,100,18.68,NC
72,Karratha,10.5669,72.642,83.48,70,35,13.31,IN
73,Karratha,66.3167,-179.1667,1.78,85,100,2.17,RU
74,Karratha,46.4154,3.9054,46.4,76,0,2.3,FR
75,Karratha,-32.5,137.7667,87.8,20,0,5.75,AU
76,Karratha,65.9702,-18.5286,41.0,70,90,23.02,IS
77,Karratha,22.0752,-159.319,78.8,65,20,16.11,US
78,Karratha,48.8333,-72.5321,35.6,80,100,14.97,CA
79,Karratha,-24.8667,113.6333,91.4,49,0,11.5,AU
80,Karratha,55.7435,-97.8558,24.8,50,75,5.75,CA
81,Karratha,-37.6167,-73.65,57.02,93,35,12.3,CL
82,Karratha,-22.9661,-42.0278,74.41,76,36,18.14,BR
83,Karratha,-23.1203,-134.9692,78.87,72,100,14.29,PF
84,Karratha,57.79,-152.4072,32.0,47,1,13.8,US
85,Karratha,64.0049,-22.5624,41.0,87,90,18.41,IS
86,Karratha,-22.9789,-49.8706,62.83,69,4,2.95,BR
87,Karratha,62.1535,45.1175,32.85,98,100,7.0,RU
88,Karratha,-20.7333,139.5,87.8,29,40,18.41,AU
89,Karratha,33.2833,134.15,69.8,52,75,5.75,JP
90,Karratha,71.2906,-156.7887,-4.0,59,1,21.85,US
91,Karratha,33.194,-82.5271,62.6,93,90,4.61,US
92,Karratha,5.3833,-52.95,76.71,86,100,11.7,GF
93,Karratha,27.0377,14.4283,57.61,31,2,9.24,LY
94,Karratha,71.9167,114.0833,-24.09,99,100,7.92,RU
95,Karratha,13.0833,109.3,88.47,57,23,5.73,VN
96,Karratha,51.9556,66.4042,6.26,98,87,8.19,KZ
97,Karratha,43.801,87.6005,39.2,81,0,4.47,CN
98,Karratha,11.5,42.5,75.2,46,1,3.44,DJ
99,Karratha,65.9811,60.3094,28.81,96,100,6.89,RU
100,Karratha,40.8106,111.6522,46.4,87,40,2.24,CN
101,Karratha,-6.2167,155.6333,85.6,67,4,5.21,PG
102,Karratha,64.1835,-51.7216,30.2,86,75,40.29,GL
103,Karratha,40.5982,-124.1573,62.6,34,1,9.22,US
104,Karratha,-33.9258,18.4232,62.01,82,20,8.05,ZA
105,Karratha,41.631,48.681,43.48,79,4,1.59,AZ
106,Karratha,64.3833,-173.3,10.4,61,0,4.47,RU
107,Karratha,41.2547,67.9692,37.94,72,6,10.76,KZ
