City_ID,Hotel Name,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
1,,1,Karratha,-26.8241,-65.2226,66.2,88,90,2.15,AR
4,,4,Karratha,31.7167,-116.5667,70.0,50,8,1.99,MX
5,,5,Karratha,-46.6,168.3333,63.0,63,100,4.0,NZ
6,,6,Karratha,-33.65,115.3333,72.0,77,100,4.0,AU
11,,11,Karratha,15.0584,43.2851,79.74,56,1,5.41,YE
12,,12,Karratha,-3.8004,102.2655,79.05,75,100,13.18,ID
15,,15,Karratha,-0.7393,-90.3518,77.0,95,10,4.0,EC
17,,17,Karratha,34.6391,-120.4579,63.0,55,0,5.75,US
18,,18,Karratha,19.7297,-155.09,78.8,65,90,8.05,US
19,,19,Karratha,28.6585,-17.9182,64.4,72,75,6.91,ES
21,,21,Karratha,-20.3428,57.7575,75.99,100,75,6.91,MU
22,,22,Karratha,-42.7826,147.0587,78.01,31,100,7.0,AU
23,,23,Karratha,-33.5906,26.891,65.46,84,86,13.49,ZA
24,,24,Karratha,22.8909,-109.9124,78.8,12,75,13.8,MX
25,,25,Karratha,29.8458,-90.1067,60.01,94,75,13.8,US
30,,30,Karratha,30.4833,-115.95,64.38,50,23,4.32,MX
33,,33,Karratha,-11.3258,-74.5308,69.85,96,67,0.98,PE
38,,38,Karratha,36.2111,-115.0731,71.6,5,1,4.61,US
46,,46,Karratha,28.017,-97.5169,73.4,43,90,16.11,US
47,,47,Karratha,-0.1303,-67.0892,72.82,98,100,0.13,BR
51,,51,Karratha,-9.9133,-63.0408,70.79,98,84,1.14,BR
52,,52,Karratha,16.5167,-98.75,79.66,70,14,3.71,MX
53,,53,Karratha,-42.8794,147.3294,77.0,38,0,11.5,AU
56,,56,Karratha,15.0,-83.2333,79.43,80,7,14.56,HN
62,,62,Karratha,13.8292,20.8324,71.42,15,8,7.76,TD
69,,69,Karratha,-46.1927,168.8643,63.0,63,100,4.0,NZ
70,,70,Karratha,17.4167,-93.3,72.73,80,5,2.86,MX
71,,71,Karratha,-22.6667,167.4833,75.27,79,100,18.68,NC
77,,77,Karratha,22.0752,-159.319,78.8,65,20,16.11,US
82,,82,Karratha,-22.9661,-42.0278,74.41,76,36,18.14,BR
83,,83,Karratha,-23.1203,-134.9692,78.87,72,100,14.29,PF
86,,86,Karratha,-22.9789,-49.8706,62.83,69,4,2.95,BR
89,,89,Karratha,33.2833,134.15,69.8,52,75,5.75,JP
91,,91,Karratha,33.194,-82.5271,62.6,93,90,4.61,US
92,,92,Karratha,5.3833,-52.95,76.71,86,100,11.7,GF
98,,98,Karratha,11.5,42.5,75.2,46,1,3.44,DJ
103,,103,Karratha,40.5982,-124.1573,62.6,34,1,9.22,US
104,,104,Karratha,-33.9258,18.4232,62.01,82,20,8.05,ZA
108,,108,Karratha,-19.5356,-49.4864,69.3,66,8,2.77,BR
113,,113,Karratha,-8.9266,125.4092,64.9,93,100,1.34,TL
123,,123,Karratha,-7.2586,-64.7981,70.45,98,98,2.26,BR
125,,125,Karratha,-11.0964,-77.6139,68.97,88,19,7.63,PE
133,,133,Karratha,28.3667,129.4833,71.6,88,75,12.66,JP
135,,135,Karratha,40.1292,124.3947,64.17,28,100,3.96,CN
136,,136,Karratha,27.7167,85.3167,60.8,94,20,3.38,NP
137,,137,Karratha,-45.4167,167.7167,67.73,35,100,2.04,NZ
139,,139,Karratha,-31.4333,152.9167,72.0,94,75,4.61,AU
145,,145,Karratha,-30.1811,-50.2056,68.36,75,34,11.68,BR
146,,146,Karratha,40.1629,-8.3327,61.0,85,60,3.0,PT
147,,147,Karratha,-33.918,25.5701,64.4,77,0,10.36,ZA
158,,158,Karratha,44.994,7.6418,60.01,47,91,1.77,IT
159,,159,Karratha,-33.0153,27.9116,66.06,79,32,9.31,ZA
165,,165,Karratha,3.8653,-67.9239,74.39,95,100,2.21,CO
166,,166,Karratha,11.0333,-63.8628,75.49,87,30,14.32,VE
168,,168,Karratha,-21.3585,55.7679,78.8,78,20,12.66,RE
172,,172,Karratha,5.3505,48.5268,79.34,74,27,7.27,SO
174,,174,Karratha,-17.8,-63.1667,73.4,78,75,3.44,BO
176,,176,Karratha,-5.3582,104.9744,74.68,96,100,2.21,ID
178,,178,Karratha,33.0833,-16.3333,60.8,77,20,13.8,PT
180,,180,Karratha,-17.7125,-39.2481,74.26,91,99,3.94,BR
181,,181,Karratha,-13.1256,38.9997,63.7,91,43,7.23,MZ
183,,183,Karratha,-25.1667,45.05,64.27,82,0,6.78,MG
189,,189,Karratha,9.4942,50.8122,74.86,68,67,2.95,SO
195,,195,Karratha,-35.1,173.7833,66.74,83,61,8.79,NZ
198,,198,Karratha,7.5264,-12.505,78.6,87,51,4.5,SL
210,,210,Karratha,-33.8667,121.9,73.4,64,3,5.75,AU
215,,215,Karratha,-16.2325,39.9086,75.25,68,14,7.16,MZ
